uuid,avaliacaoRef,idBaseRef,fazendaRef,dtcResponsavelRef,cod_fazenda,nomeFazenda,cidade_nome,estado_sigla,regiao_macro,regiao_micro,safra,epoca,dataPlantioSoja,dataColheitaSoja,latitude,longitude,altitude,nomeResponsavel,nome,dePara,status_material,tipoTeste,indexTratamento,populacao,gm,notaUniformidade,notaDensidade,notaVigor,notaDaninhas,notaPragas,notaDoencas,notaHomogenidade,notaSolo,notaQualidadeInicial,notaMedia
0288e802-e1db-4f82-a8b9-b3e37588ce83,79c65f9d-74c8-477c-9214-44eb11840a18,02ba0454-7649-4c81-950f-ed184f789356,7001996a-2024-4068-bad3-bb65e80b77d3,7e3a92bf-2ddd-4c2a-a9a1-7ee7b42924db,M3-303-C-24,Nossa Senhora Aparecida,Araguari,MG,MACRO III,REC 303,2024/25,Safra,10/23/2024,3/1/2025,-18.7335,-47.98095,950,Fúlvio Gibello,79KA72,79KA72 CE,STINE,Densidade,206,300,79,5,5,5,5,5,5,5,5,,5
02a44f07-e64e-4469-9b99-61d6128917fc,2d7d1ce4-f264-4a19-a95c-de5fb313a2b8,2badce88-7e9c-49d7-b1e0-816bcd8b5603,46a26871-132b-4fbf-bb8c-0c43f1226ad9,35b90f23-8b54-40ef-ba56-fefd341a9878,M4-402-F-24,Fazenda Santana ,Sorriso,MT,MACRO IV,REC 402,2024/25,Safra,10/16/2024,2/9/2025,-12.385359,-55.593431,380,Luiz Penna,70KA30,70KA30 CE,STINE,Densidade,201,350,70,4,3,4,5,5,5,4,5,,4.38
02c0c901-6cbd-4d86-97d5-cce19ae21f1e,44711239-5467-4a95-b074-5115f52c24fb,e27a3128-e17d-4960-9ec2-c54507304cbb,9ac6429e-ec51-4764-a767-7c89528ba0d6,586073f9-041b-4931-9e42-b44975c8b383,M4-401-F-24,Ponte de Pedra,Itiquira,MT,MACRO IV,REC 401,2024/25,Safra,10/28/2024,2/25/2025,-17.1054,-54.7112,485,Tamila Ribeiro,84KA92,84KA92 CE,DP2,Densidade,208,300,84,5,4,5,5,5,4,4,4,,4.5
02ce97ea-c53a-48b7-bbe8-4aaae076fd33,3e5d75c9-5c3e-4013-acc5-38883d676d7b,00a7b0f6-cc8b-4338-bede-b84c193817d5,4db9f327-5421-4971-84bb-8ce6ed788db4,cea7f5ab-9542-41b4-a62e-fe6496faace9,M4-402-A-24,Fazenda Aquidauana,Campo Novo do Parecis,MT,MACRO IV,REC 402,2024/25,Safra,10/15/2024,2/16/2025,-14.163552,-58.053603,437,Josélia Portilho,84KA92,84KA92 CE,DP2,Densidade,208,250,84,4,3,5,5,4,5,5,5,,4.5
03888e52-1347-41e2-a4fd-5b5d8eec60d1,8287743c-b3c6-42c6-8934-2fb1f6fc4c40,1fa1638f-e28c-479b-ad55-d95c391c4606,394c0133-b356-40a0-9ce8-8fe7412fb244,589904d8-eb5c-48cc-a8e0-ad3398f7f373,M2-204-A-24,Flor do Cerrado ,Rio Brilhante,MS,MACRO II,REC 204,2024/25,Safra,10/21/2024,2/27/2025,0,0,0,Luis Tosin ,79KA72,79KA72 CE,STINE,Densidade,106,300,79,4,4,4,4,4,4,4,4,,4
04053cdd-966a-416d-bd5d-79f9073fcd4c,b21bec8b-2018-4070-99e8-753450f1987f,d5ca0c33-e229-4025-9c96-6bdf9f0045d8,193ce1de-1af9-4d38-a44c-0f1a8970adcb,967f1c7d-13a5-48fb-ae7a-6871212afdb0,M5-501-C-24,Fazenda Porteira,Brejinho de Nazaré,TO,MACRO V,REC 501,2024/25,Safra,11/13/2024,3/12/2025,-10.92696,-48.62429,260,Pedro Lucas Ramos,77EA40,77EA40 E,STINE,Densidade,104,200,77,4,3,3,5,4,5,4,5,,4.12
04372f7a-7758-4b06-8c67-26c99b348e67,79c65f9d-74c8-477c-9214-44eb11840a18,2f870c1d-9441-4268-8210-f63b9b87ecec,7001996a-2024-4068-bad3-bb65e80b77d3,7e3a92bf-2ddd-4c2a-a9a1-7ee7b42924db,M3-303-C-24,Nossa Senhora Aparecida,Araguari,MG,MACRO III,REC 303,2024/25,Safra,10/23/2024,3/1/2025,-18.7335,-47.98095,950,Fúlvio Gibello,70KA30,70KA30 CE,STINE,Densidade,201,250,70,4,4,5,5,5,5,4,5,,4.62
044e949d-192a-4604-aaac-73ae225161e9,512d7723-9a7e-49e5-a5fe-701139d3829a,91957d4a-6aa5-4986-a76f-c9591106d5e5,b33c3624-6107-4c18-9a37-f85064b13c09,12351e76-eed4-41fb-bf16-99fb41d513a8,M4-401-B-24,Estreito Ponte de Pedra Veneza,Montividiu,GO,MACRO IV,REC 401,2024/25,Safra,10/30/2024,2/19/2025,-17.121477,-51.170811,800,Lucas Pereira,76KA72,76KA72 CE,STINE,Densidade,203,350,76,4,4,5,5,5,5,5,5,,4.75
04e3f01f-6827-4c39-83a8-1db5d740fbc5,8ca524ce-865e-4ce8-8627-aab9ceeb17df,7fea51f3-d038-4511-a2f6-a259e06d7713,1855d4a7-024c-42c0-b0fa-f0a70ced866f,b3c863ab-5a70-433e-8f85-d3b2b695e14b,M3-301-E-24,Três Pinheiros,São Gabriel do Oeste,MS,MACRO III,REC 301,2024/25,Safra,10/30/2024,3/12/2025,-19.3191,-54.64512,660,Luiz Neves,84KA92,84KA92 CE,DP2,Densidade,108,250,84,5,4,5,5,4,5,5,5,,4.75
04e95aff-0075-442d-841b-d931ffcaf7c0,ad5fa440-65d6-4ac1-ae3b-152920a5cee4,5273256b-f81c-430c-a43e-83d488f36a89,d9b6c3c4-70f8-44d5-8824-1029ff5b0c55,fd6a17f2-2d5a-46b9-ad69-4f3d7816b53a,M4-402-H-24,Lajeada ,Campos de Júlio,MT,MACRO IV,REC 402,2024/25,Safra,10/9/2024,2/13/2025,-14.0275,-59.190277,660,Milena Goulart,76KA72,76KA72 CE,STINE,Densidade,303,400,76,4,3,3,4,5,5,3,4,,3.88
04ec9dc3-a725-4b37-9c46-494054d3403f,8287743c-b3c6-42c6-8934-2fb1f6fc4c40,c07bca5b-3056-453c-91df-f642ebe6e4e8,394c0133-b356-40a0-9ce8-8fe7412fb244,589904d8-eb5c-48cc-a8e0-ad3398f7f373,M2-204-A-24,Flor do Cerrado ,Rio Brilhante,MS,MACRO II,REC 204,2024/25,Safra,10/21/2024,2/27/2025,0,0,0,Luis Tosin ,77EA40,77EA40 E,STINE,Densidade,204,350,77,4,4,4,4,3,4,4,4,,3.88
050add25-c48a-40a1-8881-7df2d1a66f5d,ad5fa440-65d6-4ac1-ae3b-152920a5cee4,1d7f5c79-d6b2-4d87-89bc-d4751d204250,d9b6c3c4-70f8-44d5-8824-1029ff5b0c55,fd6a17f2-2d5a-46b9-ad69-4f3d7816b53a,M4-402-H-24,Lajeada ,Campos de Júlio,MT,MACRO IV,REC 402,2024/25,Safra,10/9/2024,2/13/2025,-14.0275,-59.190277,660,Milena Goulart,77EA40,77EA40 E,STINE,Densidade,304,350,77,3,3,3,3,3,4,3,4,,3.25
050f11ab-e183-414c-9beb-e0a04dfaa56f,8287743c-b3c6-42c6-8934-2fb1f6fc4c40,523684d6-d2f1-40dd-9528-e07c3ef8071b,394c0133-b356-40a0-9ce8-8fe7412fb244,589904d8-eb5c-48cc-a8e0-ad3398f7f373,M2-204-A-24,Flor do Cerrado ,Rio Brilhante,MS,MACRO II,REC 204,2024/25,Safra,10/21/2024,2/27/2025,0,0,0,Luis Tosin ,70KA30,70KA30 CE,STINE,Densidade,301,200,70,4,4,4,4,4,4,4,4,,4
051d5d4e-16bf-46a0-8a32-260098ac4eb1,ad5fa440-65d6-4ac1-ae3b-152920a5cee4,1324d63b-b4a9-46a1-95a3-0596c9a7c505,d9b6c3c4-70f8-44d5-8824-1029ff5b0c55,fd6a17f2-2d5a-46b9-ad69-4f3d7816b53a,M4-402-H-24,Lajeada ,Campos de Júlio,MT,MACRO IV,REC 402,2024/25,Safra,10/9/2024,2/13/2025,-14.0275,-59.190277,660,Milena Goulart,78KA42,78KA42 CE,STINE,Densidade,205,350,78,4,3,4,3,3,4,4,4,,3.62
059e5780-54e6-46ef-bfd6-51ce145cfa99,512d7723-9a7e-49e5-a5fe-701139d3829a,abf7d89a-4c8d-4160-b24c-964b3691d40b,b33c3624-6107-4c18-9a37-f85064b13c09,12351e76-eed4-41fb-bf16-99fb41d513a8,M4-401-B-24,Estreito Ponte de Pedra Veneza,Montividiu,GO,MACRO IV,REC 401,2024/25,Safra,10/30/2024,2/19/2025,-17.121477,-51.170811,800,Lucas Pereira,70KA30,70KA30 CE,STINE,Densidade,301,200,70,4,4,5,5,5,5,5,5,,4.75
068dba2f-f98a-4c41-bf0b-3791e25ccebd,79c65f9d-74c8-477c-9214-44eb11840a18,3bf92670-b687-4ef1-bf05-a6ca93c5489e,7001996a-2024-4068-bad3-bb65e80b77d3,7e3a92bf-2ddd-4c2a-a9a1-7ee7b42924db,M3-303-C-24,Nossa Senhora Aparecida,Araguari,MG,MACRO III,REC 303,2024/25,Safra,10/23/2024,3/1/2025,-18.7335,-47.98095,950,Fúlvio Gibello,78KA42,78KA42 CE,STINE,Densidade,205,300,78,4,3,4,4,5,5,4,5,,4.25
06b1daba-b86c-4f21-8f16-9d9695e86b75,b501bce8-9c22-4b2e-89b5-ca123e07482c,2d6c07dc-e6b6-4933-882f-fd907e54bf04,9e09bbd0-f32d-45e9-b38a-8f5f8b90283f,df4e05ad-5053-463d-a3c3-463d00849eb9,M3-304-A-24,AgroROSSO 1,São Miguel do Passa Quatro,GO,MACRO III,REC 304,2024/25,Safra,11/8/2024,3/6/2025,-16.836499,-48.446628,1010,Rafael Ribeiro,76KA72,76KA72 CE,STINE,Densidade,303,300,76,4,4,4,3,5,5,5,5,,4.38
06d69479-2ae2-4b9d-a16f-2ffce9fadc8c,79c65f9d-74c8-477c-9214-44eb11840a18,80da6073-3589-4e9a-8006-6b9a0d2e4af6,7001996a-2024-4068-bad3-bb65e80b77d3,7e3a92bf-2ddd-4c2a-a9a1-7ee7b42924db,M3-303-C-24,Nossa Senhora Aparecida,Araguari,MG,MACRO III,REC 303,2024/25,Safra,10/23/2024,3/1/2025,-18.7335,-47.98095,950,Fúlvio Gibello,70KA30,70KA30 CE,STINE,Densidade,101,300,70,3,2,4,4,5,5,3,5,,3.88
06e6b419-22cf-4a44-b9b2-4e180fcaacc5,4c5ef501-99ed-47f3-9486-7aa8065fa782,5788897a-9a77-42c5-b71f-ca3f30931c3e,cd9e910b-c53e-49f3-991a-2ab0c0f82e74,428c574c-4a2b-4fc0-ab2d-c5177c7db637,M4-402-D-24,Fazenda Flora,Sorriso,MT,MACRO IV,REC 402,2024/25,Safra,10/23/2024,2/20/2025,-12.5611,-55.4622,412,Lara Martins,76KA72,76KA72 CE,STINE,Densidade,203,350,76,4,4,4,5,4,4,4,3,,4
06e7311c-7eaf-4db8-9d3d-0b0e5e967e83,b21bec8b-2018-4070-99e8-753450f1987f,73990922-f69a-4838-b03b-b0a72d3bd03b,193ce1de-1af9-4d38-a44c-0f1a8970adcb,967f1c7d-13a5-48fb-ae7a-6871212afdb0,M5-501-C-24,Fazenda Porteira,Brejinho de Nazaré,TO,MACRO V,REC 501,2024/25,Safra,11/13/2024,3/12/2025,-10.92696,-48.62429,260,Pedro Lucas Ramos,78KA42,78KA42 CE,STINE,Densidade,205,250,78,3,3,4,5,5,5,4,5,,4.25
0701839d-926f-43ee-a027-c23b3b228303,512d7723-9a7e-49e5-a5fe-701139d3829a,b617d16e-c6aa-41cc-a5c4-608892725efa,b33c3624-6107-4c18-9a37-f85064b13c09,12351e76-eed4-41fb-bf16-99fb41d513a8,M4-401-B-24,Estreito Ponte de Pedra Veneza,Montividiu,GO,MACRO IV,REC 401,2024/25,Safra,10/30/2024,2/19/2025,-17.121477,-51.170811,800,Lucas Pereira,70KA30,70KA30 CE,STINE,Densidade,101,350,70,4,4,5,5,5,5,5,5,,4.75
0729b949-9849-45d7-bcfd-80f7372ce130,2d7d1ce4-f264-4a19-a95c-de5fb313a2b8,9350d402-e742-4b64-b690-bfda000596ce,46a26871-132b-4fbf-bb8c-0c43f1226ad9,35b90f23-8b54-40ef-ba56-fefd341a9878,M4-402-F-24,Fazenda Santana ,Sorriso,MT,MACRO IV,REC 402,2024/25,Safra,10/16/2024,2/9/2025,-12.385359,-55.593431,380,Luiz Penna,80KA72,80KA72 CE,STINE,Densidade,307,400,80,4,3,4,5,5,5,4,5,,4.38
07c2ba48-6fec-463e-88a3-5f321dd846f3,4c5ef501-99ed-47f3-9486-7aa8065fa782,cfead289-725f-4508-82d5-fc76ce72c74d,cd9e910b-c53e-49f3-991a-2ab0c0f82e74,428c574c-4a2b-4fc0-ab2d-c5177c7db637,M4-402-D-24,Fazenda Flora,Sorriso,MT,MACRO IV,REC 402,2024/25,Safra,10/23/2024,2/20/2025,-12.5611,-55.4622,412,Lara Martins,80KA72,80KA72 CE,STINE,Densidade,207,250,80,4,3,4,5,4,4,4,3,,3.88
07f14fee-cc62-4b0e-97f3-851573702b19,ad5fa440-65d6-4ac1-ae3b-152920a5cee4,8c9247a0-bea6-4f93-8bf5-0638005d3ceb,d9b6c3c4-70f8-44d5-8824-1029ff5b0c55,fd6a17f2-2d5a-46b9-ad69-4f3d7816b53a,M4-402-H-24,Lajeada ,Campos de Júlio,MT,MACRO IV,REC 402,2024/25,Safra,10/9/2024,2/13/2025,-14.0275,-59.190277,660,Milena Goulart,84KA92,84KA92 CE,DP2,Densidade,208,300,84,4,4,4,3,3,4,4,4,,3.75
095aeb5f-4460-41ee-9727-40190c97d896,b501bce8-9c22-4b2e-89b5-ca123e07482c,3d9b1004-061e-4241-96ff-bb8b84d35d19,9e09bbd0-f32d-45e9-b38a-8f5f8b90283f,df4e05ad-5053-463d-a3c3-463d00849eb9,M3-304-A-24,AgroROSSO 1,São Miguel do Passa Quatro,GO,MACRO III,REC 304,2024/25,Safra,11/8/2024,3/6/2025,-16.836499,-48.446628,1010,Rafael Ribeiro,84KA92,84KA92 CE,DP2,Densidade,208,350,84,4,4,4,3,5,5,5,5,,4.38
0a01899a-9d8e-413a-acad-62fbbd8cf799,8287743c-b3c6-42c6-8934-2fb1f6fc4c40,34a277ae-b3c6-4069-9163-ce802693fe2e,394c0133-b356-40a0-9ce8-8fe7412fb244,589904d8-eb5c-48cc-a8e0-ad3398f7f373,M2-204-A-24,Flor do Cerrado ,Rio Brilhante,MS,MACRO II,REC 204,2024/25,Safra,10/21/2024,2/27/2025,0,0,0,Luis Tosin ,80KA72,80KA72 CE,STINE,Densidade,207,250,80,4,4,4,4,4,4,4,4,,4
0a189c63-e644-4ef2-a299-17b395d37525,3e5d75c9-5c3e-4013-acc5-38883d676d7b,7562a1ed-345c-4243-801b-7d2ed8588118,4db9f327-5421-4971-84bb-8ce6ed788db4,cea7f5ab-9542-41b4-a62e-fe6496faace9,M4-402-A-24,Fazenda Aquidauana,Campo Novo do Parecis,MT,MACRO IV,REC 402,2024/25,Safra,10/15/2024,2/16/2025,-14.163552,-58.053603,437,Josélia Portilho,84KA92,84KA92 CE,DP2,Densidade,108,350,84,4,3,5,3,5,5,5,0,,3.75
0ab9ef6e-2907-4145-9eb0-0991be6cd419,512d7723-9a7e-49e5-a5fe-701139d3829a,da79a5bc-f635-459a-a510-b9d3ad004434,b33c3624-6107-4c18-9a37-f85064b13c09,12351e76-eed4-41fb-bf16-99fb41d513a8,M4-401-B-24,Estreito Ponte de Pedra Veneza,Montividiu,GO,MACRO IV,REC 401,2024/25,Safra,10/30/2024,2/19/2025,-17.121477,-51.170811,800,Lucas Pereira,76KA72,76KA72 CE,STINE,Densidade,303,300,76,4,4,5,5,5,5,5,5,,4.75
